artwork - UNIQUE_KEY,artwork - DATE_EXECUTION_DATATION_TXT
229168,1er quart du 19e siècle
229169,
229171,
229178,17e siècle
229237,1er quart du 19e siècle
229247,1530 - 1540
229287,1ère moitié du 17e siècle - 1ère moitié du 18e siècle
229146,
229148,4e quart du 18e siècle
229150,19e siècle
229151,19e siècle
228804,18e siècle
229103,
229104,18e siècle
229215,
229216,
229218,
229222,1er quart du 19e siècle
229223,
229239,
229241,
229345,1ère moitié du 18e siècle
229347,1ère moitié du 18e siècle
229348,1ère moitié du 18e siècle
229196,
229198,18e siècle
228747,1ère moitié du 18e siècle
228746,1ère moitié du 18e siècle
228805,2e moitié du 18e siècle - 1ère moitié du 19e siècle
229155,18e siècle
229208,
229209,
229284,2e moitié du 17e siècle - 1ère moitié du 18e siècle
229338,1ère moitié du 18e siècle
229339,1ère moitié du 18e siècle
229301,18e siècle
228762,18e siècle
228758,2e moitié du 17e siècle - 1ère moitié du 18e siècle
229204,Vers 1700
229213,
229214,
229325,18e siècle
229327,19e siècle
229329,2e moitié du 17e siècle - 1ère moitié du 18e siècle
229336,1ère moitié du 18e siècle
229342,1ère moitié du 18e siècle
229403,19e siècle
229404,18e siècle
229303,2e moitié du 17e siècle - 1ère moitié du 18e siècle
228751,18e siècle
228772,1ère moitié du 18e siècle
228776,18e siècle
229392,1ère moitié du 18e siècle
229120,
229472,18e siècle
229356,1ère moitié du 18e siècle
229358,1ère moitié du 18e siècle
228764,18e siècle
131584,2e moitié du 18e siècle
228795,2e moitié du 18e siècle - 1ère moitié du 19e siècle
229379,1ère moitié du 18e siècle
229382,1ère moitié du 18e siècle
229389,1ère moitié du 18e siècle
229391,1ère moitié du 18e siècle
229762,17e siècle
229764,16e siècle
229360,1ère moitié du 18e siècle
229361,1ère moitié du 18e siècle
228753,18e siècle
229376,1ère moitié du 18e siècle
229464,18e siècle
229755,1er quart du 19e siècle
229757,18e siècle
229766,16e siècle
229328,2e moitié du 17e siècle - 1ère moitié du 18e siècle
229366,1ère moitié du 18e siècle
228780,2e moitié du 18e siècle - 1ère moitié du 19e siècle
229368,1ère moitié du 18e siècle
229378,1ère moitié du 18e siècle
229550,
229787,1530
229748,18e siècle
229759,18e siècle
229377,1ère moitié du 18e siècle
229331,18e siècle
229416,18e siècle
229481,17e siècle
228763,18e siècle
229500,
229505,2e quart du 18e siècle
229788,17e siècle
229789,1587
229791,1530
229792,1609
229154,19e siècle
229302,2e quart du 18e siècle - 4e quart du 18e siècle
229473,19e siècle
229771,17e siècle
229486,18e siècle
229773,1686
229777,
229502,19e siècle
229504,17e siècle - 18e siècle
229779,1614
229780,17e siècle
229783,1550 - 1601
229340,1ère moitié du 18e siècle
229795,16e siècle
229470,2e moitié du 18e siècle
229785,17e siècle
229781,17e siècle
229170,1er quart du 19e siècle
229114,
229747,Vers 1850
229768,1610 - 1646
229772,1685
229133,17e siècle
229778,2e moitié du 16e siècle - 1617
229480,19e siècle
228775,18e siècle
228778,2e moitié du 18e siècle - 1ère moitié du 19e siècle
228777,2e moitié du 18e siècle - 1ère moitié du 19e siècle
228904,15e siècle
228798,15e siècle
228768,18e siècle
250883,1759 - 1760
254886,15e siècle
254887,16e siècle
254889,4e quart du 15e siècle - 1er quart du 16e siècle
254890,4e quart du 15e siècle - 1er quart du 16e siècle
254899,15e siècle - 16e siècle
229335,1ère moitié du 18e siècle
251551,1765
251511,1766
251005,1767 - 1773
250905,1760
251439,1765
254665,4e quart du 15e siècle
254901,16e siècle
254902,16e siècle
254907,16e siècle
254908,16e siècle
