"Nom, Prénom",mapping,infoIndexationBK_ACA,mapping_OnlyName,mapping_OnlyName_v2,Année,Pays,Section,Groupe,Jury,Œuvre description,Œuvre reproduction,Courrier,Dossier sur l'artiste,Prix,Lieu
"BROUWER, LEO","brouwer, leo",1969,brouwer,brouwer,1969,CUBA,COMPO/MUS,,,Oui,Non,Non,Non,Non,ACA
"BROWN, VIVIANE","brown, viviane","1965, 1969, 1967",brown,brown,1965,France,TE,LETTRISTE,CA,Oui,Non,Oui,Non,Non,ACA
"BROWN, VIVIANE","brown, viviane","1965, 1969, 1967",brown,brown,1969,France,TE,,,Oui,Non,Oui,Non,Oui,ACA
"BROWN, VIVIANE","brown, viviane","1965, 1969, 1967",brown,brown,1967,France,TE,LETTRISTE,,Oui,Oui,Non,Non,Non,ACA
"BRU, GEORGES","bru, georges",1967,bru,bru,1967,France,PEINT,,,Oui,Non,Non,Non,Non,ACA
"BRUCE, TIM","bruce, tim",1980,bruce,bruce,1980,GRANDE-BRETAGNE,CINE/EXP,,,Oui,Non,Non,Oui,Non,ACA/BK
"BRUDER, PAT","bruder, pat",,bruder,bruder,1980,France,AP,,,Oui,Oui,Non,Oui,Non,ACA
"BRUN, JEAN-FRANCOIS","brun, jean-francois",1980,brun,brun,1980,France,ARCHI/TE,,,Oui,Oui,Non,Oui,Non,ACA
"BRUNAUD, CLAUDINE","brunaud, claudine","1967, 1969",brunaud,brunaud,1967,France,TE,,,Oui,Non,Non,Non,Non,ACA
"BRUNAUD, CLAUDINE","brunaud, claudine","1967, 1969",brunaud,brunaud,1969,France,TE,,,Oui,Non,Non,Non,Non,ACA
"BRUNELLI, BRUNO","brunelli, bruno",1969,brunelli,brunelli,1969,France,ARCHI/TE,,,Oui,Non,Oui,Non,Non,ACA
"BRUNET, PIERRE","brunet, pierre",1963,brunet,brunet,1963,France,DECO/THEA,,CA,Oui,Non,Non,Non,Non,ACA
"BRUNING, PETER","bruning, peter",1959,bruning,bruning,1959,R.F.A.,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"BRUNO, JEAN-MICHEL","bruno, jean-michel",1971,bruno,bruno,1971,France,TE,,CG,Oui,Non,Non,Non,Non,ACA
"BRUNORI, ENZO","brunori, enzo",1959,brunori,brunori,1959,ITALIE,PEINT,,,Oui,Non,Non,Oui,Non,ACA
"BRUNOVSKY, ALBIN","brunovsky, albin",,brunovsky,brunovsky,1967,TCHECOSLOVAQUIE,GV,,,Oui,Oui,Non,Non,Oui,ACA
"BRUS, GUNTER","brus, gunter",1985,brus,brus,1985,AUTRICHE,PEINT/TE,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"BRUSSE, MARK","brusse, mark","1963, 1961, 1969, 1969",brusse,brusse,1963,France,TE,,CA,Oui,Oui,Non,Non,Non,ACA
"BRUSSE, MARK","brusse, mark","1963, 1961, 1969, 1969",brusse,brusse,1961,France,SC,,JC,Oui,Non,Non,Non,Non,ACA
"BRUSSE, MARK","brusse, mark","1963, 1961, 1969, 1969",brusse,brusse,1969,France,TE,,,Oui,Non,Oui,Non,Non,ACA
"BRUSSE, MARK","brusse, mark","1963, 1961, 1969, 1969",brusse,brusse,1969,France,SC,,,Non,Non,Non,Non,Non,Non identifié
"BRUYNINCKX, ROBERT","bruyninckx, robert",1980,bruyninckx,bruyninckx,1980,BELGIQUE,AP,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"BRYNJOLF, JORGEN","brynjolf, jorgen",,brynjolf,brynjolf,1963,DANEMARK,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"BRYNJOLF, JORGEN","brynjolf, jorgen",,brynjolf,brynjolf,1963,DANEMARK,GV,,,Oui,Non,Non,Non,Non,ACA
"BUAL, ARTHUR","bual, arthur",,bual,bual,1959,PORTUGAL,PEINT,,,Oui,Non,Non,Oui,Non,ACA
"BUBENIK, GERNOT","bubenik, gernot",1967,bubenik,bubenik,1967,R.F.A.,GV,,,Oui,Oui,Non,Non,Non,ACA
"BUCAN, BORIS","bucan, boris",1971,bucan,bucan,1971,YOUGOSLAVIE,INTER,,,Oui,Oui,Non,Oui,Non,ACA
"BUCH, HUGO ARNE","buch, hugo arne",1961,buch,buch,1961,DANEMARK,PEINT,,,Oui,Non,Non,Oui,Non,ACA
"BUCH, OLE","buch, ole",,buch,buch,1967,DANEMARK,COMPO/MUS,,,Oui,Non,Non,Oui,Non,ACA
"BUCHMULLER, EVA","buchmuller, eva",1973,buchmuller,buchmuller,1973,HONGRIE,FILM/TE,,,Oui,Non,Non,Oui,Non,ACA
"BUCKI, KRZYSZTOF","bucki, krzysztof",1965,bucki,bucki,1965,POLOGNE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"BUCKLEY, STEPHEN","buckley, stephen",,buckley,buckley,1973,GRANDE-BRETAGNE,PEINT,,,Oui,Oui,Oui,Oui,Non,BK
"BUCZEK, WLODZIMIERZ","buczek, wlodzimierz",,buczek,buczek,1963,POLOGNE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"BUDD, DAVID","budd, david",1961,budd,budd,1961,ETATS-UNIS,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"BUENA VENTURA, ANA","buena ventura, ana",,buena ventura,buena ventura,1969,ESPAGNE,ARCHI/URB,,,Oui,Non,Non,Non,Non,ACA
"BUFFET, BERNARD","buffet, bernard","1959, 1961",buffet,buffet,1959,France,PEINT,,CA,Non,Oui,Oui,Non,Non,ACA
"BUFFET, BERNARD","buffet, bernard","1959, 1961",buffet,buffet,1961,France,PEINT,,CA,Oui,Non,Non,Non,Non,ACA
"BUGAY, SAIM","bugay, saim",1967,bugay,bugay,1967,TURQUIE,SC,,,Oui,Oui,Non,Non,Non,ACA
"BUISMAN, SPOUD","buisman, spoud",,buisman,buisman,1971,PAYS-BAS,TE,,,Oui,Non,Non,Non,Non,ACA
"BUJARSKI, ZBIGNIEW","bujarski, zbigniew",1967,bujarski,bujarski,1967,POLOGNE,COMPO/MUS,,,Oui,Non,Non,Non,Non,ACA
"BUK, ROSA BERTA","buk, rosa berta",1967,buk,buk,1967,ARGENTINE,DECO/THEA,,,Oui,Oui,Non,Non,Non,ACA
"BUKTA, IMRE","bukta, imre",1980,bukta,bukta,1980,HONGRIE,AP,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"BULATOVIC, MIODRAG","bulatovic, miodrag",1967,bulatovic,bulatovic,1967,France,SPECTACLE,,,Oui,Non,Non,Oui,Non,ACA
"BULFIN, MICHAEL","bulfin, michael",1971,bulfin,bulfin,1971,IRLANDE,OPTION 4,,,Oui,Oui,Non,Non,Non,ACA
"BULLIER, MARIE-MARGUERITE","bullier, marie-marguerite",1969,bullier,bullier,1969,France,ARCHI/TE,,,Oui,Non,Non,Non,Non,ACA
"BULTEAU, MICHEL","bulteau, michel","1980, 1973",bulteau,bulteau,1980,France,CINE/EXP,,,Oui,Non,Oui,Oui,Non,ACA
"BULTEAU, MICHEL","bulteau, michel","1980, 1973",bulteau,bulteau,1973,France,FILM,,,Oui,Non,Non,Oui,Non,ACA
"BUNGENER, MICHELE","bungener, michele",1967,bungener,bungener,1967,France,TE,,,Oui,Non,Non,Non,Non,ACA
"BUNK, HOLGER","bunk, holger",1985,bunk,bunk,1985,R.F.A.,PEINT,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"BURAGLIO, PIERRE","buraglio, pierre","1965, 1963, 1963",buraglio,buraglio,1965,France,PEINT,,JC,Oui,Non,Non,Non,Non,ACA
"BURAGLIO, PIERRE","buraglio, pierre","1965, 1963, 1963",buraglio,buraglio,1963,France,PEINT,,JC,Oui,Non,Non,Non,Oui,ACA
"BURAGLIO, PIERRE","buraglio, pierre","1965, 1963, 1963",buraglio,buraglio,1963,France,GV,,JA,Oui,Non,Non,Non,Non,ACA
"BUREN, DANIEL","buren, daniel","1985, 1965, 1967, 1985",buren,buren,1985,France,INST,,,Oui,Non,Oui,Non,Non,ACA/BK
"BUREN, DANIEL","buren, daniel","1985, 1965, 1967, 1985",buren,buren,1965,France,PEINT,,JA,Oui,Oui,Non,Non,Oui,ACA
"BUREN, DANIEL","buren, daniel","1985, 1965, 1967, 1985",buren,buren,1967,France,TE,BMPT,,Oui,Oui,Oui,Non,Non,ACA
"BUREN, DANIEL","buren, daniel","1985, 1965, 1967, 1985",buren,buren,1985,France,SON/TE,,,Oui,Non,Oui,Non,Non,ACA
"BURETTE, FRANCIS","burette, francis",1961,burette,burette,1961,France,TE,,CA,Oui,Oui,Non,Non,Non,ACA
"BURGEMEESTER, TON","burgemeester, ton",1971,burgemeester,burgemeester,1971,PAYS-BAS,TE,,,Oui,Non,Non,Non,Non,ACA
"BURGHOFFER, PAUL","burghoffer, paul",,burghoffer,burghoffer,1965,France,PEINT,,SR,Non,Non,Non,Oui,Non,ACA
"BURGIN, VICTOR","burgin, victor",1971,burgin,burgin,1971,France,CONCEPT,,CG,Non,Oui,Oui,Non,Non,ACA
"BURI, SAMUEL","buri, samuel","1963, 1967, 1969",buri,buri,1963,France,PEINT,,JC,Oui,Oui,Non,Non,Non,ACA
"BURI, SAMUEL","buri, samuel","1963, 1967, 1969",buri,buri,1967,France,TE,FIG. NARRATIVE,,Oui,Non,Non,Non,Non,ACA
"BURI, SAMUEL","buri, samuel","1963, 1967, 1969",buri,buri,1969,France,TE,,,Oui,Non,Oui,Non,Non,ACA
"BURKHARD, BALTHASAR","burkhard, balthasar",1971,burkhard,burkhard,1971,SUISSE,HYPERREA,,,Oui,Non,Non,Non,Non,ACA
"BURMAN, WOLFGANG","burman, wolfgang",1961,burman,burman,1961,ESPAGNE,DECO/THEA,,,Oui,Non,Non,Non,Non,ACA
"BURN, IAN","burn, ian",1971,burn,burn,1971,France,CONCEPT,,CG,Oui,Non,Oui,Non,Non,ACA
"BURSSENS, JAN","burssens, jan",,burssens,burssens,1959,BELGIQUE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"BURT, MICHAEL","burt, michael",1969,burt,burt,1969,ISRAEL,ARCHI/URB,,,Oui,Oui,Non,Non,Non,ACA
"BURTON, JAMES","burton, james",1973,burton,burton,1973,ETATS-UNIS,COMPO/MUS,,,Oui,Non,Non,Oui,Non,ACA
"BURTON, RAYMOND","burton, raymond",1963,burton,burton,1963,GRANDE-BRETAGNE,TE,,,Oui,Oui,Non,Non,Oui,ACA
"BUSER, REMO","buser, remo",1969,buser,buser,1969,SUISSE,TE,,,Oui,Non,Non,Non,Oui,ACA
"BUSFIELD, BILL","busfield, bill",1969,busfield,busfield,1969,GRANDE-BRETAGNE,ARCHI/URB,,,Oui,Non,Non,Non,Non,ACA
"BUSIAU, GILBERT","busiau, gilbert",,busiau,busiau,1980,BELGIQUE,ARCHI/TE,AUSIA & P,,Oui,Oui,Non,Oui,Non,ACA
"BUSSE, HAL","busse, hal",1959,busse,busse,1959,R.F.A.,PEINT,,,Oui,Non,Non,Non,Non,ACA
"BUSSOV, LINA","bussov, lina",,bussov,bussov,1982,YOUGOSLAVIE,VIDEO,STUDIO VISUEL,,Oui,Non,Non,Non,Non,BK
"BUSTAMANTE, JEAN-MARC","bustamante, jean-marc",1980,bustamante,bustamante,1980,France,PHOTO,,,Oui,Oui,Oui,Oui,Oui,ACA/BK
"BUSTAMANTE, MARIS","bustamante, maris",1982,bustamante,bustamante,1982,MEXIQUE,PERF,NON-GROUPE,,Non,Oui,Non,Non,Non,ACA
"BUSTO, DANIEL","busto, daniel",1969,busto,busto,1969,France,TE,,,Oui,Oui,Non,Non,Non,ACA
"BUTE, ESPERILLO","bute, esperillo",,bute,bute,1963,ARGENTINE,DES,,,Oui,Oui,Non,Non,Non,ACA
"BUTEL, MAXIME","butel, maxime",1969,butel,butel,1969,France,TE,,,Oui,Oui,Non,Non,Non,ACA
"BUTTARD, CHRISTIAN","buttard, christian",1980,buttard,buttard,1980,France,PERF,ATEM,,Oui,Non,Non,Oui,Non,ACA/BK
"BUTTNER, WERNER","buttner, werner",1985,buttner,buttner,1985,R.F.A.,PEINT,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"BYLE, JOHN","byle, john",1963,byle,byle,1963,ISRAEL,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"BYRNE, JIM","byrne, jim",,byrne,byrne,1977,ETATS-UNIS,VIDEO,,,Oui,Oui,Oui,Oui,Non,BK
C.A.D.A. (GROUPE),c.a.d.a. (groupe),,c.a.d.a. (groupe),c.a.d.a.,1982,CHILI,PHOTO,CHILI,,Non,Oui,Non,Non,Non,ACA
C.T.G. (GROUPE),c.t.g. (groupe),,c.t.g. (groupe),c.t.g.,1969,JAPON,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
C.T.G. (GROUPE),c.t.g. (groupe),,c.t.g. (groupe),c.t.g.,1969,JAPON,FILM,,,Oui,Non,Non,Non,Non,ACA
"CABALLERO, LUIS","caballero, luis",1969,caballero,caballero,1969,COLOMBIE,PEINT,,,Oui,Non,Non,Oui,Non,ACA
"CABE, CARLOS ALBERTO","cabe, carlos alberto",1967,cabe,cabe,1967,France,GV,,,Oui,Non,Non,Non,Non,ACA
"CABRERA, BENEDICTO","cabrera, benedicto",1969,cabrera,cabrera,1969,PHILIPPINES,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"CABRERA, ROBERTO","cabrera, roberto",,cabrera,cabrera,1965,GUATEMALA,GV,,,Non,Non,Non,Non,Non,Non identifié
"CABRERA, ROBERTO","cabrera, roberto",,cabrera,cabrera,1959,GUATEMALA,GV,,,Oui,Non,Non,Non,Non,ACA
"CABRERA, ROBERTO","cabrera, roberto",,cabrera,cabrera,1961,GUATEMALA,DES,,,Oui,Non,Non,Non,Non,ACA
"CABRERA, ROBERTO","cabrera, roberto",,cabrera,cabrera,1971,GUATEMALA,OPTION 4,,,Oui,Oui,Non,Non,Non,ACA
"CABRERA, VITICO","cabrera, vitico",1982,cabrera,cabrera,1982,REP.DOMINICAINE,PHOTO,,,Oui,Oui,Non,Oui,Non,ACA/BK
"CABU, JEAN","cabu, jean",,cabu,cabu,1969,France,DES/HUMOU,,,Non,Non,Non,Non,Non,ACA
"CADERE, ANDRE","cadere, andre",1971,cadere,cadere,1971,ROUMANIE,ENVOIS,,,Oui,Non,Non,Non,Non,ACA
"CAGE, JOHN","cage, john",1985,cage,cage,1985,France,SON/TE,,,Oui,Non,Non,Non,Non,ACA
"CAGLAK, GULER","caglak, guler",,caglak,caglak,1967,TURQUIE,PHOTO,,,Oui,Oui,Non,Non,Non,ACA
"CAHEN, ROBERT","cahen, robert","1977, 1980, 1973",cahen,cahen,1977,France,VIDEO,,,Oui,Oui,Oui,Oui,Non,BK
"CAHEN, ROBERT","cahen, robert","1977, 1980, 1973",cahen,cahen,1980,France,VIDEO,,,Oui,Oui,Oui,Oui,Non,ACA
"CAHEN, ROBERT","cahen, robert","1977, 1980, 1973",cahen,cahen,1973,France,COMPO/MUS,,,Oui,Non,Non,Oui,Non,ACA
"CAIRASCHI, GERARD","cairaschi, gerard",,cairaschi,cairaschi,1980,France,CINE/EXP,,,Oui,Non,Oui,Oui,Non,ACA
"CAIROLE, IVAN","cairole, ivan",1963,cairole,cairole,1963,France,PEINT,,CA,Oui,Oui,Non,Non,Non,ACA
"CALACALAS, GEORGES","calacalas, georges",1969,calacalas,calacalas,1969,GRECE,SC,,,Oui,Oui,Non,Oui,Non,ACA
"CALCAGNO, EDUARDO RAIMUNDO","calcagno, eduardo raimundo",,calcagno,calcagno,1969,ARGENTINE,FILM,,,Oui,Non,Non,Non,Non,ACA
"CALDERON, COQUI","calderon, coqui",1967,calderon,calderon,1967,PANAMA,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"CALDERON, EDMUNDO","calderon, edmundo",1965,calderon,calderon,1965,MEXIQUE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"CALDWELL, JOHN","caldwell, john",,caldwell,caldwell,1980,ETATS-UNIS,VIDEO,,,Oui,Non,Non,Oui,Non,ACA
"CALHAU, FERNANDO","calhau, fernando",,calhau,calhau,1980,PORTUGAL,AP,,,Oui,Oui,Non,Oui,Non,ACA
"CALLE, SOPHIE","calle, sophie",1980,calle,calle,1980,France,INST,,,Oui,Oui,Non,Oui,Non,ACA/BK
"CALMET, JACQUES","calmet, jacques",1969,calmet,calmet,1969,France,TE,,,Oui,Non,Non,Non,Non,ACA
"CALOT, REMY","calot, remy",1980,calot,calot,1980,France,ARCHI/TE,ATELIER ARCKOS,,Oui,Non,Non,Oui,Non,ACA
"CALSAT, DOMINIQUE","calsat, dominique",1963,calsat,calsat,1963,France,TE,,CA,Oui,Oui,Non,Non,Oui,ACA
"CALZOLARI, PIER-PAOLO","calzolari, pier-paolo",,calzolari,calzolari,1971,ITALIE,INTER,,,Oui,Non,Non,Non,Oui,ACA
"CAMACHO, JORGE","camacho, jorge",1963,camacho,camacho,1963,France,TE,,CA,Oui,Oui,Non,Non,Non,ACA
"CAMARA, LUIS DE LA","camara, luis de la",,camara,camara,1967,ESPAGNE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"CAMARGO, SERGIO DE","camargo, sergio de",1963,camargo,camargo,1963,BRESIL,SC,,,Oui,Oui,Non,Non,Oui,ACA
"CAMESI, GIANFREDO","camesi, gianfredo",1971,camesi,camesi,1971,France,INTER,,CG,Oui,Oui,Oui,Non,Non,ACA
"CAMMEO, PATRIZIA","cammeo, patrizia",,cammeo,cammeo,1971,ITALIE,TE,,,Non,Non,Non,Non,Non,Non identifié
"CAMPBELL, JEAN","campbell, jean",1963,campbell,campbell,1963,GRANDE-BRETAGNE,TE,,,Oui,Oui,Non,Non,Oui,ACA
"CAMPO BAEZA, ALBERTO","campo baeza, alberto",1985,campo baeza,campo baeza,1985,ESPAGNE,ARCHI,,,Oui,Oui,Oui,Oui,Non,ACA
"CAMPORREALE, SERGIO","camporreale, sergio",,camporreale,camporreale,1969,ARGENTINE,GV,,,Oui,Non,Non,Non,Non,ACA
"CAMPOS BISCARDI, JULIO","campos biscardi, julio",,campos biscardi,campos biscardi,1977,AMERIQUE LATINE,PEINT,,,Non,Non,Oui,Oui,Non,BK
"CAMPOS MELLO, SERGIO","campos mello, sergio",,campos mello,campos mello,1965,BRESIL,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"CAMPREDON, JEAN-PIERRE","campredon, jean-pierre",1969,campredon,campredon,1969,France,ARCHI/TE,,,Oui,Non,Non,Non,Non,ACA
"CANACAKIS, LEFTERIS","canacakis, lefteris",,canacakis,canacakis,1969,GRECE,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"CANAS, BENJAMIN","canas, benjamin",,canas,canas,1967,SAN SALVADOR,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"CANAS, CARLOS ALBERTO","canas, carlos alberto",,canas,canas,1959,ARGENTINE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"CANAS, CARLOS ALBERTO","canas, carlos alberto",,canas,canas,1961,ARGENTINE,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"CANAS, CARLOS G.","canas, carlos g.",,canas,canas,1959,SAN SALVADOR,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"CANCELA, DELIA","cancela, delia",1967,cancela,cancela,1967,ARGENTINE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"CANDALE, VICTORIUS","candale, victorius",1961,candale,candale,1961,France,PEINT,,,Oui,Non,Non,Non,Non,ACA
"CANE, LOUIS","cane, louis","1973, 1971",cane,cane,1973,France,PEINT,,,Oui,Oui,Oui,Oui,Non,BK
"CANE, LOUIS","cane, louis","1973, 1971",cane,cane,1971,France,INTER/TE,SUPPORT- SURFACE,CG,Oui,Non,Non,Non,Non,ACA
"CANELLA, GUIDO","canella, guido",1985,canella,canella,1985,ITALIE,ARCHI/TE,,,Oui,Oui,Oui,Oui,Non,ACA
"CANEVARI, ANGELO","canevari, angelo",,canevari,canevari,1965,ITALIE,SC,,,Non,Non,Non,Non,Non,Non identifié
"CANINO, BRUNO","canino, bruno",1963,canino,canino,1963,ITALIE,COMPO/MUS,,,Oui,Non,Non,Oui,Oui,ACA
"CANISTRA, MACHI","canistra, machi",,canistra,canistra,1965,GRECE,PEINT,,,Non,Non,Non,Non,Non,Non identifié
"CANO, FRANCISCO","cano, francisco",1973,cano,cano,1973,ESPAGNE,COMPO/MUS,,,Oui,Non,Non,Oui,Non,ACA
CANOLE,canole,,canole,canole,1977,ETATS-UNIS,PHOTO,,,Oui,Oui,Oui,Oui,Non,BK
"CANONICA, MARIE-JOSE","canonica, marie-jose",1985,canonica,canonica,1985,France,ARCHI/TE,,,Oui,Oui,Non,Non,Non,ACA
"CANTAGREL, GILLES","cantagrel, gilles",1963,cantagrel,cantagrel,1963,France,TE,MU,CA,Oui,Oui,Non,Non,Non,ACA
"CANTAL-DUPART, MICHEL","cantal-dupart, michel",1980,cantal-dupart,cantal-dupart,1980,France,ARCHI,,,Oui,Non,Oui,Non,Non,ACA
"CANTALUPO, PATRIZIA","cantalupo, patrizia",1985,cantalupo,cantalupo,1985,ITALIE,PEINT,,,Oui,Non,Oui,Oui,Non,ACA/BK
"CANTON, EDGARDO","canton, edgardo",1963,canton,canton,1963,France,COMPO/MUS,,CA,Oui,Non,Non,Non,Non,ACA
"CANTRILL, ARTHUR","cantrill, arthur",1969,cantrill,cantrill,1969,GRANDE-BRETAGNE,FILM,,,Oui,Non,Non,Non,Non,ACA
"CAPANNA, ROBERTO","capanna, roberto","1967, 1969",capanna,capanna,1967,ITALIE,FILM/ART,,,Oui,Non,Non,Non,Non,ACA
"CAPANNA, ROBERTO","capanna, roberto","1967, 1969",capanna,capanna,1969,ITALIE,FILM,,,Oui,Non,Non,Non,Non,ACA
"CAPELLI, SERGIO","capelli, sergio",,capelli,capelli,1982,ITALIE,ARCHI/TE,,,Non,Non,Non,Non,Non,Non identifié
"CAPOFERI, PAOLO","capoferi, paolo",,capoferi,capoferi,1961,ITALIE,FILM/ART,,,Non,Non,Non,Non,Non,Non identifié
"CAPOVILLA, MAURICE","capovilla, maurice",1965,capovilla,capovilla,1965,BRESIL,TV,,,Oui,Non,Non,Non,Non,ACA
"CAPOZZOLI, GLAUCO","capozzoli, glauco",1961,capozzoli,capozzoli,1961,URUGUAY,PEINT,,,Oui,Non,Non,Non,Non,ACA
"CARABALLO, OSCAR JORGE","caraballo, oscar jorge",1971,caraballo,caraballo,1971,URUGUAY,INTER,,,Oui,Oui,Non,Oui,Non,ACA
"CARACAS, CESAR AUGUSTO","caracas, cesar augusto",1959,caracas,caracas,1959,NICARAGUA,PEINT,,,Oui,Non,Non,Non,Non,ACA
"CARAS, CHRISTOS","caras, christos",1963,caras,caras,1963,GRECE,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"CARBAJAL, GONZALES ENRIQUE","carbajal, gonzales enrique",,carbajal,carbajal,1969,MEXIQUE,TE,,,Oui,Non,Non,Non,Non,ACA
"CARBALLA, LUIS","carballa, luis",1969,carballa,carballa,1969,ARGENTINE,SC,,,Oui,Non,Non,Non,Non,ACA
"CARBONELL, RICARDO","carbonell, ricardo",1961,carbonell,carbonell,1961,SAN SALVADOR,PEINT,,,Oui,Non,Non,Non,Non,ACA
"CARBONNET, BRUNO","carbonnet, bruno",1980,carbonnet,carbonnet,1980,France,AP,,,Oui,Oui,Oui,Non,Non,ACA/BK
"CARDENAL, ALEJANDRO","cardenal, alejandro",1971,cardenal,cardenal,1971,NICARAGUA,TE,,,Non,Non,Non,Non,Non,Non identifié
"CARDENAS-ARROYO, SANTIAGO","cardenas-arroyo, santiago",,cardenas-arroyo,cardenas-arroyo,1971,COLOMBIE,HYPERREA,,,Oui,Non,Non,Oui,Non,ACA
"CARDENAS, AGUSTIN","cardenas, agustin",1961,cardenas,cardenas,1961,France,TE,,CA,Oui,Oui,Non,Non,Oui,ACA
"CARDEW, CORNELIUS","cardew, cornelius",1963,cardew,cardew,1963,GRANDE-BRETAGNE,TE,,,Oui,Oui,Non,Non,Non,ACA
"CARDIN, ANNIE","cardin, annie","1961, 1963",cardin,cardin,1961,France,GV,,JA,Oui,Non,Non,Non,Non,ACA
"CARDIN, ANNIE","cardin, annie","1961, 1963",cardin,cardin,1963,France,GV,,JA,Oui,Oui,Non,Non,Non,ACA
"CARDON, JACQUES","cardon, jacques",,cardon,cardon,1971,France,DES/PRESS,,CG,Oui,Non,Non,Non,Non,ACA
"CARDOSO, ANTONIO","cardoso, antonio",1959,cardoso,cardoso,1959,PORTUGAL,PEINT,,,Oui,Non,Non,Oui,Non,ACA
"CARDOSO, LINDENBERG","cardoso, lindenberg",,cardoso,cardoso,1971,BRESIL,COMPO/MUS,,,Oui,Non,Non,Non,Non,ACA
"CARDOT, JEAN","cardot, jean",1965,cardot,cardot,1965,France,SC,,,Oui,Non,Oui,Non,Non,ACA
"CARLHEIM-GYLLENSKOLD, ARNE","carlheim-gyllenskold, arne",1967,carlheim-gyllenskold,carlheim-gyllenskold,1967,SUEDE,ARCHI,,,Oui,Non,Non,Non,Non,ACA
"CARLIER, JULIE","carlier, julie",,carlier,carlier,1959,BELGIQUE,GV,,,Oui,Non,Non,Non,Non,ACA
"CARLINI, ALESSANDRO","carlini, alessandro",1969,carlini,carlini,1969,R.F.A.,ARCHI/URB,,,Oui,Oui,Oui,Non,Oui,ACA
"CARLSON, CYNTHIA","carlson, cynthia",1971,carlson,carlson,1971,France,HYPERREA,,CG,Oui,Non,Non,Non,Non,ACA
"CARNEIRO, ALBERTO","carneiro, alberto",1969,carneiro,carneiro,1969,PORTUGAL,SC,,,Oui,Oui,Non,Oui,Non,ACA
"CARNEIRO, MARIO","carneiro, mario",,carneiro,carneiro,1961,BRESIL,GV,,,Oui,Non,Non,Non,Non,ACA
"CARO, ANTHONY","caro, anthony",1959,caro,caro,1959,GRANDE-BRETAGNE,SC,,,Oui,Oui,Oui,Oui,Oui,ACA
"CARON, JEAN-MARIE","caron, jean-marie","1963, 1963",caron,caron,1963,France,SC,,JA,Oui,Non,Non,Non,Non,ACA
"CARON, JEAN-MARIE","caron, jean-marie","1963, 1963",caron,caron,1963,France,PEINT,,JA,Oui,Non,Non,Non,Non,ACA
"CAROSONE, PAOLO","carosone, paolo",1967,carosone,carosone,1967,ITALIE,GV,,,Oui,Oui,Non,Non,Non,ACA
"CAROUSSOS, JEAN","caroussos, jean",,caroussos,caroussos,1965,GRECE,PEINT,,,Non,Non,Non,Non,Non,Non identifié
"CARR-HARRIS, IAN","carr-harris, ian",1975,carr-harris,carr-harris,1975,CANADA,PHOTO,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"CARR, IAN","carr, ian",1963,carr,carr,1963,GRANDE-BRETAGNE,TE,,,Oui,Oui,Non,Non,Non,ACA
"CARRE, PHILIPPE","carre, philippe",1965,carre,carre,1965,France,DECO/THEA,,,Oui,Non,Non,Non,Non,ACA
"CARRENO, ANIBAL","carreno, anibal",,carreno,carreno,1961,ARGENTINE,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"CARRERA, MARIANO","carrera, mariano",1967,carrera,carrera,1967,France,TE,CINETIQUE,,Oui,Oui,Non,Oui,Non,ACA
"CARRIER, HERVE","carrier, herve",1969,carrier,carrier,1969,France,TE,,,Oui,Oui,Oui,Non,Non,ACA
"CARRIERE, MARCEL","carriere, marcel",1965,carriere,carriere,1965,CANADA,FILM/ART,,,Oui,Non,Non,Non,Non,ACA
"CARRILHO DA GRACA, JOAO LUIS","carrilho da graca, joao luis",,carrilho da graca,carrilho da graca,1985,PORTUGAL,ARCHI,,,Non,Non,Oui,Oui,Non,ACA
"CARRILLO GARCIA, LILIA","carrillo garcia, lilia",,carrillo garcia,carrillo garcia,1959,MEXIQUE,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
