"Nom, Prénom",mapping,infoIndexationBK_ACA,mapping_OnlyName,mapping_OnlyName_v2,Année,Pays,Section,Groupe,Jury,Œuvre description,Œuvre reproduction,Courrier,Dossier sur l'artiste,Prix,Lieu
"ACS, CLAUDINE","acs, claudine",1967,acs,acs,1967,France,TE,,,Oui,Oui,Non,Non,Oui,ACA
"ACS, VILMOS","acs, vilmos","1967, 1965",acs,acs,1967,France,TE,,,Oui,Oui,Non,Non,Oui,ACA
"ACS, VILMOS","acs, vilmos","1967, 1965",acs,acs,1965,France,TE,,,Oui,Oui,Oui,Non,Non,ACA
"ACTON, ARLO","acton, arlo",1963,acton,acton,1963,ETATS-UNIS,SC,,,Oui,Non,Non,Non,Non,ACA
"ADAMI, VALERIO","adami, valerio",1985,adami,adami,1985,France,PEINT,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"ADAN VASQUEZ, MANUEL","adan vasquez, manuel",,adan vasquez,adan vasquez,1969,PANAMA,PEINT,,,Oui,Oui,Non,Oui,Non,ACA
"ADASME, ELIAS","adasme, elias",,adasme,adasme,1982,CHILI,PHOTO,CHILI,,Non,Non,Non,Non,Non,Non identifié
"ADENIS, YVES","adenis, yves",1969,adenis,adenis,1969,France,TE,,,Oui,Non,Non,Non,Non,ACA
"ADILON, GEORGES","adilon, georges",1961,adilon,adilon,1961,France,PEINT,,JA,Oui,Non,Non,Non,Non,ACA
"ADO (ADO SATO, DIT)","ado (ado sato, dit)",,ado (ado sato,ado,1969,France,TE,,,Oui,Non,Oui,Non,Non,ACA
"ADO (ADO SATO, DIT)","ado (ado sato, dit)",,ado (ado sato,ado,1971,JAPON,OPTION 4,,,Oui,Non,Non,Non,Non,ACA
"ADO (ADO SATO, DIT)","ado (ado sato, dit)",,ado (ado sato,ado,1965,France,PEINT,,CA,Oui,Oui,Non,Non,Non,ACA
"ADO (ADO SATO, DIT)","ado (ado sato, dit)",,ado (ado sato,ado,1967,France,PEINT,,,Oui,Oui,Non,Non,Oui,ACA
"ADOLGISO, ARMANDO","adolgiso, armando",,adolgiso,adolgiso,1982,ITALIE,INFO/SON,FONOSTERA,,Non,Non,Non,Non,Non,Non identifié
"ADRIEN, PHILIPPE","adrien, philippe",1969,adrien,adrien,1969,France,SPECTACLE,,,Non,Non,Oui,Non,Non,ACA
"ADRON, RALF","adron, ralf",,adron,adron,1961,GRANDE-BRETAGNE,DECO/THEA,,,Oui,Non,Non,Non,Non,ACA
"AFCHAR, VICTORIA","afchar, victoria",1963,afchar,afchar,1963,IRAN,PEINT,,,Oui,Non,Non,Non,Non,ACA
"AGAM, YAACOV","agam, yaacov",1959,agam,agam,1959,ISRAEL,PEINT,,,Oui,Oui,Oui,Non,Non,ACA
"AGAOGLU, TEKTAS","agaoglu, tektas",,agaoglu,agaoglu,1959,TURQUIE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"AGERBAEK, LEIF","agerbaek, leif",,agerbaek,agerbaek,1969,DANEMARK,ARCHI/URB,,,Oui,Non,Non,Non,Non,ACA
"AGOR, AXEL","agor, axel",,agor,agor,1969,ISRAEL,PHOTO,,,Oui,Oui,Non,Non,Non,ACA
"AGUILAR ALCUAZ, FEDERICO","aguilar alcuaz, federico",1967,aguilar alcuaz,aguilar alcuaz,1967,PHILIPPINES,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"AGUILAR PONCE, LUIS","aguilar ponce, luis",1969,aguilar ponce,aguilar ponce,1969,MEXIQUE,TE,,,Oui,Non,Non,Non,Non,ACA
"AGUILAR, JOSE ROBERTO","aguilar, jose roberto",1965,aguilar,aguilar,1965,BRESIL,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"AGUILAR, MIGUEL","aguilar, miguel",1963,aguilar,aguilar,1963,CHILI,COMPO/MUS,,,Oui,Non,Oui,Non,Non,ACA
"AGUIRRE, CARLOS","aguirre, carlos",1982,aguirre,aguirre,1982,MEXIQUE,AP,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"AGUIRRE, LUIS FERNANDO","aguirre, luis fernando",1967,aguirre,aguirre,1967,ESPAGNE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"AHEARN, JOHN","ahearn, john",1985,ahearn,ahearn,1985,ETATS-UNIS,SC,,,Oui,Non,Oui,Oui,Non,ACA/BK
"AHLSTROM, LARS","ahlstrom, lars",1980,ahlstrom,ahlstrom,1980,France,VIDEO,,,Oui,Non,Oui,Oui,Non,ACA/BK
"AHMADI, KAMBIZ","ahmadi, kambiz",1969,ahmadi,ahmadi,1969,GRANDE-BRETAGNE,TE,,,Oui,Non,Non,Non,Non,ACA
"AHONEN, EINO","ahonen, eino",1963,ahonen,ahonen,1963,FINLANDE,GV,,,Oui,Non,Non,Non,Non,ACA
"AIHA, MARTTI","aiha, martti",1982,aiha,aiha,1982,FINLANDE,AP,,,Oui,Oui,Non,Oui,Non,ACA/BK
"AIJAZ, TOWFEEK","aijaz, towfeek",1961,aijaz,aijaz,1961,PAKISTAN,SC,,,Oui,Non,Non,Non,Non,ACA
"AIKEN, JOHN","aiken, john",1980,aiken,aiken,1980,IRLANDE,AP,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"AILLAUD, GILLES","aillaud, gilles",1963,aillaud,aillaud,1963,France,PEINT,,JA,Oui,Oui,Non,Non,Non,ACA
"AKERMAN, CHANTAL ANNE","akerman, chantal anne",,akerman,akerman,1973,BELGIQUE,FILM,,,Oui,Non,Non,Oui,Non,ACA
"AKHLAQ, ZAHOOR-UL","akhlaq, zahoor-ul",,akhlaq,akhlaq,1967,PAKISTAN,PEINT,,,Oui,Non,Non,Oui,Non,ACA
"AKHLAQ, ZAHOOR-UL","akhlaq, zahoor-ul",,akhlaq,akhlaq,1967,PAKISTAN,GV,,,Oui,Non,Non,Oui,Non,ACA
"AKL, SAID","akl, said",,akl,akl,1961,LIBAN,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"AKL, SAID","akl, said",,akl,akl,1959,LIBAN,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"AKSOY, ALAADDIN","aksoy, alaaddin",,aksoy,aksoy,1967,TURQUIE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
